Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2015-04-21 22:39:45;2015-04-22 07:00:50;83%;8:21;;Drank tea:Meditated;;3078
2015-04-22 22:41:13;2015-04-23 06:30:21;77%;7:49;;;;5134
2015-04-23 22:58:02;2015-04-24 06:30:55;79%;7:32;;Meditated:Stressful day;;7893
2015-04-24 22:07:07;2015-04-25 08:00:50;96%;9:53;;Meditated:Stressful day;;4438
2015-04-25 23:08:44;2015-04-26 13:29:51;80%;14:21;;Drank tea:Stressful day;;2411
2015-04-26 23:06:05;2015-04-27 07:26:07;86%;8:20;;;;1933
2015-04-27 22:29:16;2015-04-28 06:31:21;84%;8:02;;Meditated;;732
2015-04-28 22:31:12;2015-04-29 07:30:25;92%;8:59;;Drank tea:Meditated;;8008
2015-04-29 22:05:46;2015-04-30 05:56:55;82%;7:51;;Drank tea;;7982
2015-05-01 00:04:51;2015-05-01 07:30:34;79%;7:25;;Stressful day;;5650
2015-05-01 23:23:52;2015-05-02 12:10:30;85%;12:46;;;;571
2015-05-03 00:29:22;2015-05-03 10:44:07;93%;10:14;;Drank tea;;6850
2015-05-03 23:00:15;2015-05-04 07:30:27;84%;8:30;;Drank tea:Meditated;;7102
2015-05-04 23:06:14;2015-05-05 07:30:19;49%;8:24;;Drank tea;;1827
2015-05-05 23:19:10;2015-05-06 07:30:22;79%;8:11;;;;4567
2015-05-06 22:37:20;2015-05-07 07:30:14;73%;8:52;;;;1693
2015-05-07 23:28:38;2015-05-08 07:30:26;75%;8:01;;;;4939
2015-05-08 22:29:33;2015-05-09 09:30:38;77%;11:01;;Drank tea;;3766
2015-05-10 23:04:23;2015-05-11 07:30:25;60%;8:26;;;;1353
2015-05-11 23:05:07;2015-05-12 07:30:23;91%;8:25;;;;6156
2015-05-12 22:44:10;2015-05-13 07:30:29;78%;8:46;;;;3038
2015-05-13 23:26:18;2015-05-14 07:30:25;79%;8:04;;;;2626
2015-05-14 22:42:37;2015-05-15 07:24:44;86%;8:42;;;;345
2015-05-15 23:49:21;2015-05-16 10:00:53;93%;10:11;;;;3265
2015-05-17 00:58:32;2015-05-17 09:00:37;85%;8:02;;;;466
2015-05-17 22:38:57;2015-05-18 07:30:22;96%;8:51;;;;3488
2015-05-18 22:45:26;2015-05-19 07:26:12;87%;8:40;;;;587
2015-05-19 22:39:34;2015-05-20 07:29:12;82%;8:49;;;;7307
2015-05-20 23:08:18;2015-05-21 07:29:21;59%;8:21;;;;2865
2015-05-21 22:57:51;2015-05-22 07:30:24;93%;8:32;;;;5943
2015-05-25 23:03:51;2015-05-26 07:24:44;84%;8:20;;;;3342
2015-05-26 21:55:20;2015-05-27 07:24:13;85%;9:28;;Meditated;;650
2015-05-27 23:06:21;2015-05-28 07:30:35;80%;8:24;;;;3740
2015-05-28 21:51:07;2015-05-29 07:24:46;93%;9:33;;Drank tea;;987
2015-05-31 23:04:01;2015-06-01 07:24:57;81%;8:20;;Drank tea;;1122
2015-06-01 23:04:42;2015-06-02 07:30:38;90%;8:25;;;;534
2015-06-02 22:36:58;2015-06-03 07:30:14;90%;8:53;;;;2597
2015-06-03 23:06:07;2015-06-04 07:30:21;72%;8:24;;;;3095
2015-06-04 23:46:02;2015-06-05 08:00:32;82%;8:14;;;;6350
2015-06-05 22:54:47;2015-06-06 10:00:23;79%;11:05;;;;6402
2015-06-07 01:11:36;2015-06-07 10:00:26;83%;8:48;;;;5987
2015-06-07 23:01:24;2015-06-08 07:29:28;83%;8:28;;;;5509
2015-06-08 23:48:15;2015-06-09 07:28:55;63%;7:40;;;;690
2015-06-09 22:18:58;2015-06-10 06:30:28;73%;8:11;;;;708
2015-06-10 23:04:00;2015-06-11 07:26:20;68%;8:22;;;;6427
